facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10040001,Chariton River near Centerville,12/13/1999 12:30:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,11.8,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,12/13/1999 12:30:00,AMBIENT,FLOW,Flow,Total,,12,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,12/13/1999 12:30:00,AMBIENT,PH,pH,Total,,8.4,None,True,,,,4500-H,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,01/05/2000 11:30:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,14.7,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,12.1,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,FLOW,Flow,Total,,12,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,PH,pH,Total,,8.5,None,True,,,,4500-H,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,3,deg C,True,0,,,2550,,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,122-34-9,Simazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,1912-24-9,Atrazine,Total,,0.43,ug/l,True,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,2008-41-5,Butylate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,21087-64-9,Metribuzin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,21725-46-2,Cyanazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,34256-82-1,Acetochlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,51218-45-2,Metolachlor,Total,,0.41,ug/l,True,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
6,10040001,Chariton River near Centerville,02/14/2000 10:45:00,AMBIENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.29,ug/l,True,0.1,,,507,UHL001,Actual,SW,Water,,,Appanoose,10280201,River/Stream,,40.7904175,-92.8579956
