facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21860001,Union Grove Beach (Union Grove State Park),05/22/2000 12:50:00,BEACH,68583-22-2,Escherichia coli,Total,,27,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),05/22/2000 12:50:00,BEACH,ENTERO,Enterococcus,Total,,30,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),05/22/2000 12:50:00,BEACH,FEC-COL,Fecal Coliform,Total,,27,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),05/30/2000 12:58:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,>24,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),05/30/2000 12:58:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,>24,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),05/30/2000 12:58:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,>24,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),06/05/2000 13:25:00,BEACH,ENTERO,Enterococcus,Total,,30,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),06/05/2000 13:25:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),06/05/2000 13:25:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
6,21860001,Union Grove Beach (Union Grove State Park),06/12/2000 11:05:00,BEACH,FEC-COL,Fecal Coliform,Total,,30,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Tama,07080208,Lake,,42.1290295,-92.7228827
