facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21880001,Green Valley Beach (Green Valley State Park),07/02/2001 16:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/02/2001 16:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/02/2001 16:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/09/2001 16:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/09/2001 16:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/09/2001 16:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/16/2001 15:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/16/2001 15:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/16/2001 15:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/23/2001 16:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/23/2001 16:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/23/2001 16:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/30/2001 16:30:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/30/2001 16:30:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),07/30/2001 16:30:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/06/2001 16:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/06/2001 16:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/06/2001 16:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/13/2001 15:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/13/2001 15:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
6,21880001,Green Valley Beach (Green Valley State Park),08/13/2001 15:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,1600,BEA001,Actual,SW,Water,,,Union,10240012,Lake,,41.1038811,-94.3861991
