facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,11930001,Dick Creek near Corydon (Dick0),09/11/2008 10:00:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,7.1,mg/l,True,,,,D888(C),,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.779951,-93.422787
6,11930001,Dick Creek near Corydon (Dick0),09/11/2008 10:00:00,TMDL,FLOW,Flow,Total,,0.3,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.779951,-93.422787
6,11930001,Dick Creek near Corydon (Dick0),09/11/2008 10:00:00,TMDL,PH,pH,Total,,7.6,None,True,,,,4500-H,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.779951,-93.422787
6,11930001,Dick Creek near Corydon (Dick0),09/11/2008 10:00:00,TMDL,TEMP-WATER,"Temperature, water",Total,,18.8,deg C,True,,,,Unknown,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.779951,-93.422787
6,11930001,Dick Creek near Corydon (Dick0),09/11/2008 10:00:00,TMDL,CBOD-SC,"Carbonaceous biochemical oxygen demand, standard conditions",Total,,2,mg/l,False,2,,,5210-B,UHL001,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.779951,-93.422787
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,TEMP-WATER,"Temperature, water",Total,,20.3,deg C,True,,,,2550,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,PH,pH,Total,,7.8,None,True,,,,4500-H,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,8.6,mg/l,True,,,,4500-O-G,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,FLOW,Flow,Total,,7.4,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.2,mg/l,True,0.1,,,353.2,UHL001,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.9,mg/l,True,0.1,,,351.2,UHL001,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,14265-44-2,Orthophosphate (as P),Dissolved,,0.09,mg/l,True,0.02,,,365.1,UHL001,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
6,11930003,West Jackson Creek near Corydon,09/13/2010 13:45:00,TMDL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.25,mg/l,True,0.02,,,365.4,UHL001,Actual,SW,Water,,,Wayne,10280201,River/Stream,,40.742846,-93.227497
