facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21990001,Lake Cornelia Park Beach,06/07/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/14/2004 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/06/2004 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,210,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/26/2004 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/09/2004 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,05/22/2006 09:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,570,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/12/2006 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/19/2006 08:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/10/2006 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,140,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/24/2006 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/31/2006 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/14/2006 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,73,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/21/2006 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,05/31/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,110,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/13/2005 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,27,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/20/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,05/21/2007 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/11/2005 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/11/2007 08:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/18/2007 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/15/2005 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/09/2007 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/16/2007 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,07/30/2007 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,36,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/06/2007 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/20/2007 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,18,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,08/27/2007 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,05/27/2008 08:12:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,9223-B,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/09/2008 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,190,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
6,21990001,Lake Cornelia Park Beach,06/16/2008 09:05:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Wright,07100005,Lake,,42.792371,-93.693283
