facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10070001,Beaver Creek near Cedar Falls,07/05/2017 09:30:00,AMBIENT,7429-90-5,Aluminum,Total,,2.6,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.5731702,-92.5067007
6,10070002,Wolf Creek at La Porte City,07/05/2017 07:20:00,AMBIENT,7429-90-5,Aluminum,Total,,2.1,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.3157478,-92.1937977
6,10070002,Wolf Creek at La Porte City,09/12/2017 09:30:00,AMBIENT,7429-90-5,Aluminum,Total,,0.11,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.3157478,-92.1937977
6,10070001,Beaver Creek near Cedar Falls,09/12/2017 11:10:00,AMBIENT,7429-90-5,Aluminum,Total,,0.06,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.5731702,-92.5067007
6,10070002,Wolf Creek at La Porte City,11/09/2017 09:40:00,AMBIENT,7429-90-5,Aluminum,Total,,0.14,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.3157478,-92.1937977
6,10070001,Beaver Creek near Cedar Falls,11/09/2017 11:40:00,AMBIENT,7429-90-5,Aluminum,Total,,0.05,mg/l,False,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.5731702,-92.5067007
6,10070001,Beaver Creek near Cedar Falls,01/08/2018 12:30:00,AMBIENT,7429-90-5,Aluminum,Total,,0.05,mg/l,False,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.5731702,-92.5067007
6,10070002,Wolf Creek at La Porte City,01/08/2018 13:45:00,AMBIENT,7429-90-5,Aluminum,Total,,0.05,mg/l,False,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.3157478,-92.1937977
6,10070001,Beaver Creek near Cedar Falls,03/07/2018 12:30:00,AMBIENT,7429-90-5,Aluminum,Total,,0.93,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.5731702,-92.5067007
6,10070002,Wolf Creek at La Porte City,03/07/2018 14:10:00,AMBIENT,7429-90-5,Aluminum,Total,,1.4,mg/l,True,0.05,,,200.8(W),UHL001,Actual,SW,Water,,,Black Hawk,07080205,River/Stream,,42.3157478,-92.1937977
