facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21110001,Gabrielson Park Beach,06/22/2004 10:34:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,180,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110001,Gabrielson Park Beach,07/06/2004 09:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110001,Gabrielson Park Beach,07/27/2004 11:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110001,Gabrielson Park Beach,08/17/2004 14:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,230,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110001,Gabrielson Park Beach,05/22/2006 11:02:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110003,Marathon Pit Beach,05/22/2006 09:53:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110002,Sturchler Pit Beach,05/22/2006 09:12:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110001,Gabrielson Park Beach,05/30/2006 12:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110002,Sturchler Pit Beach,05/30/2006 09:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110001,Gabrielson Park Beach,06/12/2006 11:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110002,Sturchler Pit Beach,06/12/2006 09:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,220,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110003,Marathon Pit Beach,06/12/2006 10:05:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,90,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110001,Gabrielson Park Beach,06/19/2006 11:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110002,Sturchler Pit Beach,07/05/2006 09:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,2,MPN/100ml,True,1,,,9223-B,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110003,Marathon Pit Beach,07/05/2006 10:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,52,MPN/100ml,True,1,,,9223-B,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110001,Gabrielson Park Beach,07/06/2006 11:25:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,14,MPN/100ml,True,1,,,9223-B,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110002,Sturchler Pit Beach,07/17/2006 09:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110001,Gabrielson Park Beach,07/24/2006 11:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110002,Sturchler Pit Beach,07/24/2006 09:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,140,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110003,Marathon Pit Beach,07/24/2006 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,430,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110003,Marathon Pit Beach,08/07/2006 10:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,50,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110002,Sturchler Pit Beach,08/07/2006 09:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.614845,-95.041957
6,21110001,Gabrielson Park Beach,08/07/2006 11:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110003,Marathon Pit Beach,08/14/2006 10:25:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
6,21110001,Gabrielson Park Beach,08/14/2006 11:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110001,Gabrielson Park Beach,08/28/2006 09:55:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,10230003,Lake,,42.878865,-95.148881
6,21110003,Marathon Pit Beach,08/28/2006 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Buena Vista,07100006,Lake,,42.864641,-95.003881
