facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,11003-45-5,Chlorophyll c,NonFilt,,2,ug/l,True,1,,,10200-H,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,479-61-8,Chlorophyll a,NonFilt,,65,ug/l,True,1,,,10200-H,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,519-62-0,Chlorophyll b,NonFilt,,1,ug/l,False,1,,,10200-H,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,CLR-A-UCP,"Chlorophyll a, uncorrected for pheophytin",NonFilt,,100,ug/l,True,1,,,10200-H,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,ENTERO,Enterococcus,Total,,2800,MPN/100ml,True,100,,,1600,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,68583-22-2,Escherichia coli,Total,,730,MPN/100ml,True,100,,,Unknown,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,FEC-COL,Fecal Coliform,Total,,910,MPN/100ml,True,100,,,9222-D,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.2,mg/l,True,0.05,,,350.1,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,2.8,mg/l,True,0.05,,,Unknown,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,4.6,mg/l,True,0.1,,,353.2,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,603-17-8,Pheophytin a,NonFilt,,54,ug/l,True,1,,,10200H(2),UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.44,mg/l,True,0.05,,,365.4,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.15,mg/l,True,0.05,,,365.1,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,7631-86-9,Silica,Dissolved,,14,mg/l,True,1,,,370.1,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,TDS,Total dissolved solids,Dissolved,,370,mg/l,True,1,,,160.1,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,TVSS,Volatile Suspended Solids,NonFilt,,29,mg/l,True,1,,,160.4,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
6,10120001,Shell Rock River at Shell Rock,10/05/2002 10:30:00,TMDLEVENT,TSS,Total suspended solids,NonFilt,,200,mg/l,True,1,,,I3765,UHL002,Actual,SW,Water,,,Butler,07080202,River/Stream,,42.7115435,-92.5814295
