facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,7782-44-7,Dissolved oxygen (DO),Total,,7,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,PH,pH,Total,,8.3,None,True,,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,TEMP-WATER,"Temperature, water",Total,,26,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,FEC-COL,Fecal Coliform,Total,,20,MPN/100ml,True,10,,,9222-D,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,TURB,Turbidity,Total,,11,NTU,True,1,,,180.1,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,APHA 9222 G,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/22/2003 11:45:00,BEACH,ENTERO,Enterococcus,Total,,30,MPN/100ml,True,10,,,1600,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,7782-44-7,Dissolved oxygen (DO),Total,,13.1,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,PH,pH,Total,,8.8,None,True,,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,TEMP-WATER,"Temperature, water",Total,,26.7,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,TURB,Turbidity,Total,,27,NTU,True,1,,,180.1,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,68583-22-2,Escherichia coli,Total,,140,MPN/100ml,True,10,,,APHA 9222 G,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,ENTERO,Enterococcus,Total,,63,MPN/100ml,True,10,,,1600,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,07/29/2003 13:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,230,MPN/100ml,True,10,,,9222-D,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130002,North Twin Lake East Beach,07/22/2003 12:15:00,BEACH,7782-44-7,Dissolved oxygen (DO),Total,,10.7,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4796283,-94.6317665
6,21130002,North Twin Lake East Beach,07/22/2003 12:15:00,BEACH,PH,pH,Total,,8.5,None,True,,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4796283,-94.6317665
6,21130002,North Twin Lake East Beach,07/22/2003 12:15:00,BEACH,TEMP-WATER,"Temperature, water",Total,,25.6,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4796283,-94.6317665
6,21130002,North Twin Lake East Beach,07/22/2003 12:15:00,BEACH,FEC-COL,Fecal Coliform,Total,,770,MPN/100ml,True,10,,,9222-D,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4796283,-94.6317665
6,21130001,North Twin Lake West Beach,08/19/2003 12:15:00,BEACH,7782-44-7,Dissolved oxygen (DO),Total,,9.6,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,08/19/2003 12:15:00,BEACH,PH,pH,Total,,8.8,None,True,,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,08/19/2003 12:15:00,BEACH,TEMP-WATER,"Temperature, water",Total,,28.5,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
6,21130001,North Twin Lake West Beach,08/19/2003 12:15:00,BEACH,FEC-COL,Fecal Coliform,Total,,180,MPN/100ml,True,10,,,9222-D,BEA002,Actual,SW,Water,,,Calhoun,07100006,Lake,,42.4791576,-94.6376184
