facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,15160002,Hoover Creek at Main St. (HeHo 2),06/08/2004 10:00:00,HEHO,7782-44-7,Dissolved oxygen (DO),Total,,8.1,mg/l,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),06/08/2004 10:00:00,HEHO,TEMP-WATER,"Temperature, water",Total,,17.2,deg C,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),06/08/2004 10:00:00,HEHO,TURB,Turbidity,Total,,14,NTU,True,,,,180.1,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),06/08/2004 10:00:00,HEHO,68583-22-2,Escherichia coli,Total,,260,MPN/100ml,True,10,,,1603,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),10/05/2004 13:53:00,HEHO,NIT-ORGN,Organic Nitrogen,Total,,0.45,mg/l,True,0.05,,,LAC10-107-06-2E,HEHO1,Calculated,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),10/05/2004 13:53:00,HEHO,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),10/05/2004 13:53:00,HEHO,68583-22-2,Escherichia coli,Total,,750,MPN/100ml,True,10,,,1603,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),10/05/2004 13:53:00,HEHO,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,5.4,mg/l,True,0.05,,,353.2,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,7782-44-7,Dissolved oxygen (DO),Total,,7.8,mg/l,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,TEMP-WATER,"Temperature, water",Total,,9.8,deg C,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,TURB,Turbidity,Total,,10,NTU,True,,,,180.1,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,9.8,mg/l,True,0.05,,,353.2,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.34,mg/l,True,0.05,,,351.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),11/08/2004 12:05:00,HEHO,68583-22-2,Escherichia coli,Total,,200,MPN/100ml,True,10,,,1603,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,7782-44-7,Dissolved oxygen (DO),Total,,6.1,mg/l,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,TEMP-WATER,"Temperature, water",Total,,8.9,deg C,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,TURB,Turbidity,Total,,21,NTU,True,,,,180.1,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,9.9,mg/l,True,0.05,,,353.2,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,68583-22-2,Escherichia coli,Total,,210,MPN/100ml,True,10,,,1603,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160002,Hoover Creek at Main St. (HeHo 2),12/06/2004 12:55:00,HEHO,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.52,mg/l,True,0.05,,,351.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.671258,-91.354938
6,15160004,Hoover Creek at 2nd St. (HeHo 4),06/08/2004 09:00:00,HEHO,7782-44-7,Dissolved oxygen (DO),Total,,9.3,mg/l,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.670033,-91.344287
6,15160004,Hoover Creek at 2nd St. (HeHo 4),06/08/2004 09:00:00,HEHO,TEMP-WATER,"Temperature, water",Total,,16.4,deg C,True,,,,Unknown,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.670033,-91.344287
6,15160004,Hoover Creek at 2nd St. (HeHo 4),06/08/2004 09:00:00,HEHO,TURB,Turbidity,Total,,11,NTU,True,,,,180.1,,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.670033,-91.344287
6,15160004,Hoover Creek at 2nd St. (HeHo 4),06/08/2004 09:00:00,HEHO,68583-22-2,Escherichia coli,Total,,600,MPN/100ml,True,10,,,1603,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.670033,-91.344287
6,15160004,Hoover Creek at 2nd St. (HeHo 4),06/08/2004 09:00:00,HEHO,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.24,mg/l,True,0.05,,,351.1,HEHO1,Actual,SW,Water,,,Cedar,07080206,River/Stream,,41.670033,-91.344287
