facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21190002,Split Rock Park Beach,06/01/2004 14:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,27,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,42.911898,-92.238019
6,21190001,Airport Lake Beach,06/01/2004 13:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,43.086107,-92.346069
6,21190001,Airport Lake Beach,06/21/2004 14:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,82,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,43.086107,-92.346069
6,21190002,Split Rock Park Beach,07/06/2004 16:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,90,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,42.911898,-92.238019
6,21190001,Airport Lake Beach,07/06/2004 15:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,920,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,43.086107,-92.346069
6,21190001,Airport Lake Beach,08/09/2004 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,70,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,43.086107,-92.346069
6,21190002,Split Rock Park Beach,08/09/2004 14:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,42.911898,-92.238019
6,21190002,Split Rock Park Beach,08/23/2004 14:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,42.911898,-92.238019
6,21190002,Split Rock Park Beach,08/30/2004 11:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,42.911898,-92.238019
6,21190001,Airport Lake Beach,08/30/2004 12:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Chickasaw,07080102,Lake,,43.086107,-92.346069
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.05,mg/l,False,0.05,,,365.1,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,7631-86-9,Silica,Dissolved,,10,mg/l,True,1,,,370.1,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,TDS,Total dissolved solids,Dissolved,,250,mg/l,True,1,,,160.1,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,TVSS,Volatile Suspended Solids,NonFilt,,32,mg/l,True,1,,,160.4,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,TSS,Total suspended solids,NonFilt,,210,mg/l,True,1,,,I3765,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,SPEC-COND,Specific conductance,Total,,490,uS/cm,True,1,,,2510,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 09:30:00,TMDLEVENT,TURB,Turbidity,Total,,67,NTU,True,1,,,180.1,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 21:00:00,TMDLEVENT,11003-45-5,Chlorophyll c,NonFilt,,1,ug/l,False,1,,,10200-H,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 21:00:00,TMDLEVENT,479-61-8,Chlorophyll a,NonFilt,,27,ug/l,True,1,,,10200-H,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 21:00:00,TMDLEVENT,519-62-0,Chlorophyll b,NonFilt,,1,ug/l,False,1,,,10200-H,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
6,11190001,Little Cedar River at Ionia (69),06/06/2002 21:00:00,TMDLEVENT,CLR-A-UCP,"Chlorophyll a, uncorrected for pheophytin",NonFilt,,40,ug/l,True,1,,,10200-H,UHL002,Actual,SW,Water,,,Chickasaw,07080201,River/Stream,,43.033239,-92.5034348
