facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,PH,pH,Total,,8,None,True,,,,4500-H,,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,10.9,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,9.1,m,True,,,,Unknown,,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.6,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,16.6,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,200,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.12,mg/l,True,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200002,West Lake Osceola,04/19/2005 15:15:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1.5,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Clarke,07100008,Lake,,41.040011,-93.805285
6,22200001,East Lake Osceola,04/19/2005 14:00:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.15,mg/l,True,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Clarke,07100008,Lake,,41.032595,-93.742585
6,22200001,East Lake Osceola,04/19/2005 14:00:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.32,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,Clarke,07100008,Lake,,41.032595,-93.742585
6,22200001,East Lake Osceola,04/19/2005 14:00:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.21,mg/l,True,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,Clarke,07100008,Lake,,41.032595,-93.742585
