facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/12/2000 09:45:00,BEACH,ENTERO,Enterococcus,Total,,60,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/12/2000 09:45:00,BEACH,68583-22-2,Escherichia coli,Total,,82,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/12/2000 09:45:00,BEACH,FEC-COL,Fecal Coliform,Total,,82,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/19/2000 10:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/19/2000 10:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/19/2000 10:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/26/2000 08:40:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/26/2000 08:40:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),06/26/2000 08:40:00,BEACH,ENTERO,Enterococcus,Total,,40,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Davis,07100009,Lake,,40.8176471,-92.5803483
6,21260001,Lake Wapello Beach (Lake Wapello State Park),07/05/2000 07:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,>24,Davis,07100009,Lake,,40.8176471,-92.5803483
