facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21280001,Backbone Beach (Backbone State Park),05/22/2000 09:00:00,BEACH,68583-22-2,Escherichia coli,Total,,2700,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),05/22/2000 09:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,2700,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),05/22/2000 09:00:00,BEACH,ENTERO,Enterococcus,Total,,280,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),05/30/2000 09:30:00,BEACH,68583-22-2,Escherichia coli,Total,,780,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),05/30/2000 09:30:00,BEACH,ENTERO,Enterococcus,Total,,250,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/11/2000 10:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,6000,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/11/2000 10:00:00,BEACH,ENTERO,Enterococcus,Total,,460,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/12/2000 08:40:00,BEACH,68583-22-2,Escherichia coli,Total,,650,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/12/2000 08:40:00,BEACH,FEC-COL,Fecal Coliform,Total,,910,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/12/2000 08:40:00,BEACH,ENTERO,Enterococcus,Total,,100,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/16/2000 11:25:00,BEACH,FEC-COL,Fecal Coliform,Total,,370,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/16/2000 11:25:00,BEACH,68583-22-2,Escherichia coli,Total,,300,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/16/2000 11:25:00,BEACH,ENTERO,Enterococcus,Total,,60,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/17/2000 11:00:00,BEACH,68583-22-2,Escherichia coli,Total,,150,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/17/2000 11:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,150,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/17/2000 11:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,>24,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/24/2000 08:54:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/24/2000 08:54:00,BEACH,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/24/2000 08:54:00,BEACH,FEC-COL,Fecal Coliform,Total,,40,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/31/2000 09:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,40,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/31/2000 09:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),07/31/2000 09:00:00,BEACH,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),08/21/2000 08:30:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),08/21/2000 08:30:00,BEACH,FEC-COL,Fecal Coliform,Total,,260,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),08/21/2000 08:30:00,BEACH,68583-22-2,Escherichia coli,Total,,170,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),08/28/2000 09:30:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/05/2001 10:00:00,BEACH,68583-22-2,Escherichia coli,Total,,550,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/05/2001 10:00:00,BEACH,ENTERO,Enterococcus,Total,,660,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/07/2001 09:15:00,BEACH,ENTERO,Enterococcus,Total,,2800,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/07/2001 09:15:00,BEACH,68583-22-2,Escherichia coli,Total,,3000,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/07/2001 09:15:00,BEACH,FEC-COL,Fecal Coliform,Total,,4100,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 09:52:00,BEACH,FEC-COL,Fecal Coliform,Total,,850,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 09:52:00,BEACH,ENTERO,Enterococcus,Total,,430,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 09:52:00,BEACH,68583-22-2,Escherichia coli,Total,,250,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 10:12:00,BEACH,FEC-COL,Fecal Coliform,Total,,310,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 10:12:00,BEACH,ENTERO,Enterococcus,Total,,91,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/11/2001 10:12:00,BEACH,68583-22-2,Escherichia coli,Total,,280,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
6,21280001,Backbone Beach (Backbone State Park),06/12/2001 09:40:00,BEACH,ENTERO,Enterococcus,Total,,240,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Delaware,07060006,Lake,,42.6014519,-91.5341972
