facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,15310001,Whitewater Creek,06/16/2008 11:57:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,3700,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Dubuque,07060006,River/Stream,,42.304402,-90.911659
6,15310001,Whitewater Creek,06/30/2008 10:38:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1300,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Dubuque,07060006,River/Stream,,42.304402,-90.911659
6,15310001,Whitewater Creek,07/14/2008 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,4600,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Dubuque,07060006,River/Stream,,42.304402,-90.911659
6,15310001,Whitewater Creek,08/12/2008 11:47:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,5500,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Dubuque,07060006,River/Stream,,42.304402,-90.911659
6,15310001,Whitewater Creek,08/25/2008 10:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,930,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Dubuque,07060006,River/Stream,,42.304402,-90.911659
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,7782-44-7,Dissolved oxygen (DO),Total,,7.1,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,TEMP-WATER,"Temperature, water",Total,,19.3,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,FLOW,Flow,Total,,5.3,cfs,True,0.1,,,USGS CA8,,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,PH,pH,Total,,8.1,None,True,,,,4500-H,,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,TURB,Turbidity,Total,,40,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,16887-00-6,Chloride,Total,,36,mg/l,True,1,,,300(A),UHL001,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,11003-45-5,Chlorophyll c,NonFilt,,1,ug/l,False,1,,,10200-H,UHL001,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
6,16310001,South Fork Catfish Creek,08/07/2002 10:45:00,REMAP,479-61-8,Chlorophyll a,NonFilt,,2,ug/l,True,1,,,10200-H,UHL001,Actual,SW,Water,,,Dubuque,07060005,River/Stream,,42.471403,-90.776128
