facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,7440-44-0,Carbon,Total,,13,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.07,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,20,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,05/31/2005 13:30:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,12,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,300,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,11.6,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,3,m,True,,,,Unknown,,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.1,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,20.5,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,PH,pH,Total,,9.4,None,True,,,,4500-H,,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,TURB,Turbidity,Total,,50,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,110,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,3.8,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,170,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,3.7,mg/l,True,1,,,370.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.05,mg/l,True,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320001,Ingham Lake,06/02/2005 15:45:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,390,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,Emmet,07100002,Lake,,43.31786,-94.700148
6,22320002,Tuttle Lake,08/01/2005 15:30:00,AMBLAKE-SHL,7439-92-1,Lead,Total,,160,ug/l,True,10,,,200.8(W),UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
6,22320002,Tuttle Lake,08/01/2005 15:30:00,AMBLAKE-SHL,7440-02-0,Nickel,Total,,50,ug/l,False,50,,,200.8(W),UHLLAKE,Actual,SW,Water,,,Emmet,07100003,Lake,,43.490587,-94.616412
