facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10340001,Cedar River near Charles City (DS1),12/01/1999 13:15:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,16.5,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),12/01/1999 13:15:00,AMBIENT,FLOW,Flow,Total,,270,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,603-17-8,Pheophytin a,NonFilt,,1,ug/l,True,1,,,10200H(2),UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.3,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,7631-86-9,Silica,Dissolved,,11,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,TDS,Total dissolved solids,Dissolved,,390,mg/l,True,1,,,160.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,TSS,Total suspended solids,NonFilt,,5,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,SPEC-COND,Specific conductance,Total,,700,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),01/10/2000 11:10:00,AMBIENT,TURB,Turbidity,Total,,8.6,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,12.1,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,FLOW,Flow,Total,,300,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,PH,pH,Total,,8.3,None,True,,,,4500-H,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,9,deg C,True,0,,,2550,,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1918-00-9,Dicamba,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1918-02-01,Picloram,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,25057-89-0,Bentazon,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,93-72-1,Silvex,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,94-75-7,"2,4-D",Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,122-34-9,Simazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,13071-79-9,Terbufos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,13194-48-4,Ethoprop,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1563-66-2,Carbofuran,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1912-24-9,Atrazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,2008-41-5,Butylate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,21087-64-9,Metribuzin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,21725-46-2,Cyanazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,2921-88-2,Chlorpyrifos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,298-02-2,Phorate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,34256-82-1,Acetochlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,51218-45-2,Metolachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,944-22-9,Fonofos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1024-57-3,Heptachlor epoxide,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,1031-07-8,Endosulfan sulfate,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,309-00-2,Aldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
6,10340001,Cedar River near Charles City (DS1),10/18/1999 12:35:00,AMBIENT,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Floyd,07080201,River/Stream,,43.0060272,-92.6026111
