facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,10.2,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,PH,pH,Total,,8.4,None,True,0.1,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,TEMP-WATER,"Temperature, water",Total,,0.5,deg C,True,0.5,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,FLOW,Flow,Total,,4,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,CBOD-SC,"Carbonaceous biochemical oxygen demand, standard conditions",Total,,2,mg/l,True,2,,,UnknownBOD,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,NIT-AMM,Ammonia-nitrogen (as N),Total,,3.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,4.6,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.6,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,8.2,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,14265-44-2,Orthophosphate (as P),Dissolved,,0.5,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,TSS,Total suspended solids,NonFilt,,11,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),03/06/2001 11:00:00,TMDL,SPEC-COND,Specific conductance,Total,,770,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,21,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,14265-44-2,Orthophosphate (as P),Dissolved,,0.05,mg/l,False,0.05,,,Unknown,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,TSS,Total suspended solids,NonFilt,,32,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),06/07/2001 11:00:00,TMDL,SPEC-COND,Specific conductance,Total,,610,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),07/05/2001 10:00:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,10.4,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),07/05/2001 10:00:00,TMDL,PH,pH,Total,,8.4,None,True,0.1,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),07/05/2001 10:00:00,TMDL,TEMP-WATER,"Temperature, water",Total,,19,deg C,True,0.5,,,Unknown,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
6,11380003,M.F. South Beaver Creek NW of Wellsburg (45),07/05/2001 10:00:00,TMDL,FLOW,Flow,Total,,10,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Grundy,07080205,River/Stream,,42.4914938,-92.9677227
