facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21390001,Springbrook Beach (Springbrook State Park),06/26/2000 08:15:00,BEACH,FEC-COL,Fecal Coliform,Total,,90,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),06/26/2000 08:15:00,BEACH,ENTERO,Enterococcus,Total,,80,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/05/2000 08:15:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/05/2000 08:15:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/05/2000 08:15:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/10/2000 08:30:00,BEACH,FEC-COL,Fecal Coliform,Total,,320,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/10/2000 08:30:00,BEACH,ENTERO,Enterococcus,Total,,380,MPN/100ml,True,10,,,9230-C,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/10/2000 08:30:00,BEACH,68583-22-2,Escherichia coli,Total,,320,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/17/2000 09:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/17/2000 09:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/17/2000 09:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/24/2000 08:30:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
6,21390001,Springbrook Beach (Springbrook State Park),07/24/2000 08:30:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Guthrie,07100007,Lake,,41.7767591,-94.4657794
