facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21410002,Eldred-Sherwood Recreation Area Beach,06/07/2004 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/14/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,110,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/14/2004 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1900,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,06/21/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,9700,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/28/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1500,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/28/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,27,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,07/06/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,14000,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/06/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,82,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,07/26/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/26/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,08/08/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,08/10/2004 09:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,08/23/2004 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,08/30/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,08/30/2004 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,05/22/2006 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/22/2006 11:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,05/30/2006 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/30/2006 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,17000,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,07/10/2006 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/10/2006 08:35:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,07/24/2006 08:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,07/24/2006 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/31/2006 08:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,08/14/2006 08:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,08/21/2006 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,05/31/2005 07:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/31/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,06/06/2005 07:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/13/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,60,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/20/2005 07:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/20/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,06/27/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,07/05/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/22/2007 08:40:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,50,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,05/29/2007 08:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/29/2007 08:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,60,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/11/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/04/2007 08:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,06/11/2007 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,27,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/18/2007 08:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/18/2007 08:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410002,Eldred-Sherwood Recreation Area Beach,08/08/2005 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,08/22/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,07/02/2007 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,08/29/2005 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,08/29/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,07/16/2007 08:40:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/16/2007 08:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,530,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,07/30/2007 09:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,07/30/2007 08:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,08/20/2007 08:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,350,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,08/20/2007 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,45,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,08/27/2007 08:25:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,05/27/2008 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,05/27/2008 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/03/2008 08:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410001,Crystal Lake Park Beach,06/09/2008 08:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,390,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/09/2008 08:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1500,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
6,21410001,Crystal Lake Park Beach,06/16/2008 08:25:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,43.227932,-93.785683
6,21410002,Eldred-Sherwood Recreation Area Beach,06/16/2008 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,500,MPN/100ml,True,10,,,9223-B,BEA002,Actual,SW,Water,,,Hancock,07080207,Lake,,42.939856,-93.563569
