facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,15450001,Lake Hendricks Site #1,03/21/2007 12:40:00,LAKEHEND,7440-44-0,Carbon,Total,,9.8,mg/l,True,0.5,,,5310-B,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,03/21/2007 12:40:00,LAKEHEND,68583-22-2,Escherichia coli,Total,,36,MPN/100ml,True,10,,,1603,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,03/21/2007 12:40:00,LAKEHEND,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.33,mg/l,True,0.05,,,350.1,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,03/21/2007 12:40:00,LAKEHEND,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1.8,mg/l,True,0.1,,,351.2,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,03/21/2007 12:40:00,LAKEHEND,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,4.6,mg/l,True,0.05,,,353.2,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,PH,pH,Total,,7.6,None,True,,,,4500-H,,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,7440-44-0,Carbon,Total,,2.7,mg/l,True,0.5,,,5310-B,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,68583-22-2,Escherichia coli,Total,,370,MPN/100ml,True,10,,,1603,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.5,mg/l,True,0.1,,,351.2,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,15,mg/l,True,0.05,,,353.2,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450001,Lake Hendricks Site #1,04/02/2007 10:27:00,LAKEHEND,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.06,mg/l,True,0.02,,,365.4,LAKEHEND,Actual,SW,Water,,,Howard,07080102,River/Stream,,43.3787314,-92.5386762
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,PH,pH,Total,,7.8,None,True,,,,4500-H,,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,7440-44-0,Carbon,Total,,2.5,mg/l,True,0.5,,,5310-B,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.3,mg/l,True,0.1,,,351.2,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,11,mg/l,True,0.05,,,353.2,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450002,Lake Hendricks Site #2,04/02/2007 10:25:00,LAKEHEND,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.03,mg/l,True,0.02,,,365.4,LAKEHEND,Actual,GW,Water,,,Howard,07080102,River/Stream,,43.3783184,-92.5389756
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,7440-44-0,Carbon,Total,,1.4,mg/l,True,0.5,,,5310-B,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.2,mg/l,True,0.1,,,351.2,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,13,mg/l,True,0.05,,,353.2,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450006,Lake Hendricks Site #6,04/02/2007 13:01:00,LAKEHEND,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.03,mg/l,True,0.02,,,365.4,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3745345,-92.5362515
6,15450007,Lake Hendricks Site #7,04/02/2007 13:23:00,LAKEHEND,PH,pH,Total,,7.1,None,True,,,,4500-H,,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3739636,-92.537589
6,15450007,Lake Hendricks Site #7,04/02/2007 13:23:00,LAKEHEND,7440-44-0,Carbon,Total,,1.9,mg/l,True,0.5,,,5310-B,LAKEHEND,Actual,GW,Water,,,Howard,07080102,Facility Other,,43.3739636,-92.537589
