facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21530001,Central Park Beach,06/15/2004 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,80,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,06/29/2004 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,80,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,07/06/2004 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,07/20/2004 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,07/27/2004 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,08/10/2004 10:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,08/23/2004 13:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,80,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,06/12/2006 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,06/19/2006 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,45,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,07/24/2006 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,64,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,08/14/2006 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,100,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,05/31/2005 08:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,06/08/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,45,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,06/20/2005 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,100,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,21530001,Central Park Beach,05/21/2007 00:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,15530010,Maquoketa River at Supples Bridge Access,05/21/2007 09:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,80,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.184872,-90.977364
6,15530009,Maquoketa River at Hwy 136 Access,05/21/2007 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.203758,-91.004855
6,15530008,Maquoketa River at Pictured Rocks,05/21/2007 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,70,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.206362,-91.102966
6,15530007,Maquoketa River at Mon-Maq Dam,05/21/2007 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,82,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.244984,-91.172729
6,21530001,Central Park Beach,05/29/2007 09:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,15530001,Wapsipinicon River at Stone City Boat Ramp,05/30/2007 10:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,100,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080102,River/Stream,,42.110736,-91.349439
6,15530002,Wapsipinicon River at Anamosa Boat Ramp,05/30/2007 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,190,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.10077,-91.29297
6,15530003,Wapsipinicon River at Newport Mills Access,05/30/2007 11:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,250,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.044995,-91.200209
6,15530004,Wapsipinicon River at Jungletown Access,05/30/2007 12:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,400,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,41.997559,-91.055705
6,15530007,Maquoketa River at Mon-Maq Dam,06/04/2007 10:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,12000,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.244984,-91.172729
6,15530008,Maquoketa River at Pictured Rocks,06/04/2007 09:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,3900,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.206362,-91.102966
6,15530009,Maquoketa River at Hwy 136 Access,06/04/2007 09:25:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1500,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.203758,-91.004855
6,15530010,Maquoketa River at Supples Bridge Access,06/04/2007 09:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,1700,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,River/Stream,,42.184872,-90.977364
6,15530001,Wapsipinicon River at Stone City Boat Ramp,06/11/2007 11:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,210,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080102,River/Stream,,42.110736,-91.349439
6,15530002,Wapsipinicon River at Anamosa Boat Ramp,06/11/2007 11:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,210,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.10077,-91.29297
6,15530003,Wapsipinicon River at Newport Mills Access,06/11/2007 11:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,340,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.044995,-91.200209
6,15530004,Wapsipinicon River at Jungletown Access,06/11/2007 10:40:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,240,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,41.997559,-91.055705
6,15530006,Wapsipinicon River at Olin Access,06/11/2007 10:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,350,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.003487,-91.132667
6,15530005,Wapsipinicon River at Oxford Mills,06/11/2007 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,180,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,41.971513,-90.96209
6,21530001,Central Park Beach,06/18/2007 08:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,100,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07060006,Lake,,42.110749,-91.136478
6,15530002,Wapsipinicon River at Anamosa Boat Ramp,06/25/2007 11:05:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,640,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.10077,-91.29297
6,15530003,Wapsipinicon River at Newport Mills Access,06/25/2007 10:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,2100,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Jones,07080103,River/Stream,,42.044995,-91.200209
