facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,603-17-8,Pheophytin a,NonFilt,,1,ug/l,False,1,,,10200H(2),UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.1,mg/l,False,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,7631-86-9,Silica,Dissolved,,19,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,TDS,Total dissolved solids,Dissolved,,590,mg/l,True,1,,,160.1,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,TSS,Total suspended solids,NonFilt,,10,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,SPEC-COND,Specific conductance,Total,,950,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,12/27/1999 10:30:00,AMBIENT,TURB,Turbidity,Total,,5.1,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,16,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,FLOW,Flow,Total,,18,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,PH,pH,Total,,7.7,None,True,,,,4500-H,,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,0.2,deg C,True,0,,,2550,,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,122-34-9,Simazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
6,10550001,East Fork of The Des Moines River near St. Joseph,01/18/2000 10:20:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Kossuth,07100003,River/Stream,,42.9513864,-94.233404
