facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,7,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,5,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,12,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1.1,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,110,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,TURB,Turbidity,Total,,41,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,73,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/31/2006 10:50:00,AMBLAKE-SHL,7440-44-0,Carbon,Total,,13,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,07/18/2006 10:50:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,191,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,07/18/2006 10:50:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,6.2,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,07/18/2006 10:50:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,5.5,m,True,,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,07/18/2006 10:50:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.4,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,07/18/2006 10:50:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,29.4,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,08/22/2006 09:30:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,51,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,08/22/2006 09:30:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.03,mg/l,True,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,08/22/2006 09:30:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.1,mg/l,False,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/09/2006 13:50:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,212,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/09/2006 13:50:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,8.9,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/09/2006 13:50:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,6.1,m,True,,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
6,22680001,Lake Miami Max Depth,05/09/2006 13:50:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,1.1,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Monroe,07100009,Lake,,41.121522,-92.843984
