facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21720002,Ashton Park Beach,06/02/2004 14:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10170204,Lake,,43.312011,-95.782581
6,21720001,Ocheyedan Pits Recreation Area Beach,06/02/2004 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
6,21720002,Ashton Park Beach,07/26/2004 10:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10170204,Lake,,43.312011,-95.782581
6,21720002,Ashton Park Beach,08/09/2004 10:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10170204,Lake,,43.312011,-95.782581
6,21720001,Ocheyedan Pits Recreation Area Beach,06/14/2004 10:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
6,21720001,Ocheyedan Pits Recreation Area Beach,06/21/2004 11:10:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
6,21720002,Ashton Park Beach,06/21/2004 11:50:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,40,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10170204,Lake,,43.312011,-95.782581
6,21720001,Ocheyedan Pits Recreation Area Beach,07/06/2004 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,72,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
6,21720001,Ocheyedan Pits Recreation Area Beach,07/12/2004 10:20:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
6,21720001,Ocheyedan Pits Recreation Area Beach,07/26/2004 10:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Osceola,10230003,Lake,,43.386353,-95.534628
