facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,FLOW,Flow,Total,,203,cfs,True,0.1,,,USGS CA8,,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,15972-60-8,Alachlor,Total,,0.025,ug/l,False,0.025,,,UHLESA/OXA,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,34256-82-1,Acetochlor,Total,,0.038,ug/l,True,0.025,,,UHLESA/OXA,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,51218-45-2,Metolachlor,Total,,0.087,ug/l,True,0.025,,,UHLESA/OXA,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,87674-68-8,Dimethenamid,Total,,0.025,ug/l,False,0.025,,,UHLESA/OXA,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.53,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,122-34-9,Simazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,139-40-2,Propazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,1582-09-8,Trifluralin,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,15972-60-8,Alachlor,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
6,10750001,Floyd River near Sioux City,08/07/2002 07:30:00,EVENT,1610-18-0,Prometon,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Plymouth,10230002,River/Stream,,42.5767481,-96.3120273
