facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,11790001,Arbor Lake -Unnamed Northeast Tributary (1),03/19/2002 10:00:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,10,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7364936,-92.7335021
6,11790001,Arbor Lake -Unnamed Northeast Tributary (1),03/19/2002 10:00:00,TMDL,PH,pH,Total,,7.5,None,True,,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7364936,-92.7335021
6,11790001,Arbor Lake -Unnamed Northeast Tributary (1),03/19/2002 10:00:00,TMDL,TEMP-WATER,"Temperature, water",Total,,7,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7364936,-92.7335021
6,11790001,Arbor Lake -Unnamed Northeast Tributary (1),03/19/2002 10:00:00,TMDL,FLOW,Flow,Total,,2,cfs,True,0.1,,,USGS CA8,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7364936,-92.7335021
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.7,mg/l,True,0.1,,,353.2,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.08,mg/l,True,0.05,,,365.4,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,14265-44-2,Orthophosphate (as P),Dissolved,,0.07,mg/l,True,0.05,,,365.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,7631-86-9,Silica,Dissolved,,9.5,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,TSS,Total suspended solids,NonFilt,,32,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790002,Arbor Lake -Unnamed Northwest Tributary (2),03/19/2002 10:00:00,TMDL,SPEC-COND,Specific conductance,Total,,1000,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7365032,-92.7337666
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,7782-44-7,Dissolved oxygen (DO),Total,,11.4,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,PH,pH,Total,,8,None,True,,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,TEMP-WATER,"Temperature, water",Total,,5.3,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,FLOW,Flow,Total,,3,cfs,True,0.1,,,USGS CA8,,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,ALK-TOT,"Alkalinity, total",Total,,110,mg/l CaCO3,True,1,,,2320,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,CBOD-SC,"Carbonaceous biochemical oxygen demand, standard conditions",Total,,28,mg/l,True,2,,,5210-B,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,ENTERO,Enterococcus,Total,,49000,MPN/100ml,True,10,,,1600,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,68583-22-2,Escherichia coli,Total,,1900,MPN/100ml,True,10,,,APHA 9222 G,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,FEC-COL,Fecal Coliform,Total,,2100,MPN/100ml,True,10,,,9222-D,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.42,mg/l,True,0.05,,,350.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,2,mg/l,True,0.05,,,Unknown,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,1.6,mg/l,True,0.1,,,353.2,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.38,mg/l,True,0.05,,,365.4,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,14265-44-2,Orthophosphate (as P),Dissolved,,0.12,mg/l,True,0.05,,,365.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,7631-86-9,Silica,Dissolved,,4.4,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,TSS,Total suspended solids,NonFilt,,330,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790004,Arbor Lake - Inflow from Nyanza Lake (4),03/19/2002 10:30:00,TMDL,SPEC-COND,Specific conductance,Total,,890,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.731845,-92.7292046
6,11790007,Arbor Lake Outlet (7),03/19/2002 10:45:00,TMDL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7321976,-92.7336642
6,11790007,Arbor Lake Outlet (7),03/19/2002 10:45:00,TMDL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,2.2,mg/l,True,0.05,,,Unknown,UHL001,Actual,SW,Water,,,Poweshiek,07080106,River/Stream,,41.7321976,-92.7336642
